subject_id,acquisition,brainmask_voxels,facemask_voxels,brainmask_overlap_facemask_voxels
sub-ON62592,fspgr,1008831.0,1435428.0,0.0
sub-ON12688,mprage,1596423.0,2091664.0,0.0
sub-ON89475,mprage,1296651.0,1899702.0,0.0
sub-ON82386,fspgr,1094083.0,1545721.0,0.0
sub-ON34766,mprage,1452529.0,2022249.0,0.0
sub-ON42107,mprage,1340421.0,2084933.0,0.0
sub-ON31551,fspgr,1629438.0,1467196.0,0.0
sub-ON67121,fspgr,1041007.0,1528768.0,0.0
sub-ON62955,fspgr,950436.0,1535193.0,0.0
sub-ON30080,mprage,1415859.0,1843094.0,0.0
sub-ON58053,mprage,1493569.0,2230251.0,0.0
sub-ON66557,fspgr,1049295.0,1581662.0,0.0
sub-ON72082,mprage,1513186.0,2284559.0,0.0
sub-ON61373,mprage,1383261.0,2040459.0,0.0
sub-ON65733,mprage,1518911.0,2460234.0,0.0
sub-ON98806,mprage,1527715.0,2345910.0,0.0
sub-ON56250,mprage,1338567.0,2226984.0,0.0
sub-ON87313,fspgr,1112338.0,1685067.0,0.0
sub-ON25658,fspgr,1075154.0,1588983.0,0.0
sub-ON94856,mprage,1251978.0,1893399.0,0.0
sub-ON84478,highreshippo,3628241.0,507205.0,0.0
sub-ON22662,fspgr,1204794.0,1812910.0,0.0
sub-ON89474,mprage,1193763.0,2331858.0,0.0
sub-ON01802,mprage,1575337.0,2018720.0,0.0
sub-ON35920,fspgr,917527.0,1506746.0,0.0
sub-ON39099,mprage,1492906.0,1936619.0,0.0
sub-ON30535,fspgr,1072903.0,1590846.0,0.0
sub-ON91906,mprage,1437909.0,1996788.0,0.0
sub-ON52662,mprage,1555133.0,2224409.0,0.0
sub-ON01016,fspgr,1137422.0,1562860.0,0.0
sub-ON93016,fspgr,1156221.0,1749685.0,0.0
sub-ON94663,fspgr,1189078.0,1619132.0,0.0
sub-ON95422,mprage,1715326.0,2427527.0,0.0
sub-ON98098,mprage,1342121.0,1901187.0,0.0
sub-ON05530,mprage,1630784.0,2319651.0,0.0
sub-ON63704,mprage,1381114.0,1801902.0,0.0
sub-ON84651,fspgr,1100181.0,1395025.0,0.0
sub-ON78603,fspgr,1077110.0,1763195.0,0.0
sub-ON43016,mprage,1300397.0,1822550.0,0.0
sub-ON17159,fspgr,1224405.0,1513270.0,0.0
sub-ON23483,fspgr,1032187.0,1465158.0,0.0
